Pro_name,Pro_color,Cus_name,Rating,Title,Date,Review
iphone 11,Black,Debony,4,I had high hopes,"Reviewed in the United States on January 2, 2020","I requested an exchange because the phone I got reset on me a few times while trying to set it up. Like I had to redo adding my wifi and password, all the settings like country, prompts, etc. They made the return process so easy so Ia??ll give them props"
iphone 11,Black,Nicolas H.,1,As Advertised,"Reviewed in the United States on December 1, 2020",Ia??m pleasantly surprised with this transaction. Ia??m a true skeptic and regularly conduct extensive research when making this type of purchase. The phone doesna??t come in original packaging and the cord and wall adapter are definitely not Apple produ
iphone 11,Black,Amazon Customer,1,Pay attention to the 1-star ratings,"Reviewed in the United States on May 7, 2020","Phone doesna??t work on the providers they say it will. I really wish Ia??d paid attention to the 1-star ratings before I bought it.

Pros: the phone is in great condition and it works well

Cons: Ita??s not really unlocked a??or its some weird hardware "
iphone 11,Black,Aaliyah Houghton,1,Doesn't turn on at all,"Reviewed in the United States on May 4, 2020","If there was a way to leave a 0 star, I would. I got the phone in the mail, super excited to get it up and running, and it wouldn't turn on. I called Apple and was on a call with them for 30 mins and they couldn't help me get the phone on either. Needles"
iphone 11,Black,Alondra Vidal,1,Bad refurb job,"Reviewed in the United States on April 18, 2020",All they did was replace the glass. The sides of the phone are all scratched up not refurbished at all and the cables included are all aftermarket... not really pleased with the way the phone looks at all. Do yourself a favor and spend the extra money fo
iphone 11,Black,brenda,5,My Face ID dona??t work,"Reviewed in the United States on April 28, 2020",The Face ID do not work I tried everything to fix it In wouldna??t buy from dis seller again
iphone 11,Black,Katherine,2,Brand new Purple iPhone 11!,"Reviewed in the United States on October 26, 2020","Got my phone in two days rather than five standard shipping days! I was happy it came sooner than expected! I was nervous about ordering a renewed phone online because I didna??t want to spend $700 on a phone not knowing if it was damaged or not, but Ia?"
iphone 11,Black,Sarah,1,"BEWARE OF SELLER ""BuySPRY""","Reviewed in the United States on November 27, 2020","The iPhone 11 my son bought from BuySPRY technically works in the sense of being a very expensive digital camera and ipod, but not as a phone. In august, we were contacted by our phone service provider Xfinity Mobile who said the phone was flagged for be"
iphone 11,Black,Joyce,4,Just keep going...DO NOT buy a phone from these people!,"Reviewed in the United States on December 19, 2021","What an awful, frustrating month long experience. Save yourself a ton of grief and aggravation and do not buy a phone here!! This whole experience was tragic. The phone was an absolute complete and total piece of worthless junk. The key board didn't work"
iphone 11,Black,Bryson Family,1,Bad experience,"Reviewed in the United States on March 20, 2020",it seemed like new the thing I didna??t like is was it wasna??t in its original boxing didna??t even last three months and the screen started bugging out since ita??s refurbished and the seller wona??t help me by swapping it or giving you a refund. Ia??m
