transaction date,est_revenue,vod_revenue,est_trannx,vod_trannx,nr_est_rev,nr_vod_rev,lib_est_rev,lib_vod_rev,d2d_revenue,total_rev,discounted_rev,new_paids,ex_paids
00:00.0,1212791.85,439615.92,86932,96064,745224.63,325119.42,377519.34,114496.5,43526.74,1695983.47,159382.75,7841,138007
00:00.0,940873.77,331050.97,69668,74374,536299.12,231205.2,308074.09,99845.77,44089.75,1316148.38,116344.95,6496,108309
00:00.0,667538.71,148202.42,51879,35093,391222.45,91418.44,193013.27,56783.98,24167.1,840016.12,72311.04,3666,65987
00:00.0,1088051.46,222726.99,70480,48399,830009.25,172755.37,180599.34,49971.62,22259.42,1333091.82,65007.08,4752,91740
00:00.0,697592.56,185108.07,49372,41285,452601.9,136277.65,169107.75,48830.42,23905.84,906657.42,48970.63,3818,70098
00:00.0,652590.82,181240.7,46668,40717,397002.66,130985.16,181030.02,50255.54,25960.62,860039.93,50655.57,3402,67552
00:00.0,976519.06,358138.45,66152,77327,639068.21,276527.09,252129.21,81611.36,32218.12,1366990.51,75490.51,6005,112956
00:00.0,1248587.71,466027.84,100109,101139,667683.38,353122.3,476884.27,112905.54,44527.68,1759410.98,272026.68,8178,144905
00:00.0,861569.2,364401.58,61163,80702,488296.53,264869.31,273335.55,99532.27,43034.68,1269269.21,69560.58,6403,108696
00:00.0,576345.33,155543.98,45740,36243,338062.97,100756.94,155770.25,54787.04,27488.72,759526.89,37207.76,3170,63795
00:00.0,907422.13,268026.03,91383,157878,497100.92,214831.15,325673.45,53194.88,31201.18,1206851.15,299576.69,13126,123903
00:00.0,668734.31,238655.62,58699,71418,324672.93,180117.55,262020.22,58538.07,27756.97,935282.78,193575.3,6401,84552
00:00.0,607353.68,196488.91,52380,52817,282098.26,142956.18,240624.62,53532.73,27366.13,831286.65,170279.96,4386,72027
00:00.0,894221.57,372363.82,74636,90310,443057.55,291664.47,358034.51,80699.35,32662.07,1299372.34,271513.52,6692,116818
00:00.0,977655.97,517472.98,76927,121490,508761.91,401394.15,369510.81,116078.83,41900.98,1537195.78,248555.09,8883,142648
00:00.0,810681,392852.27,67311,96390,376915.37,288213.43,333777.87,104638.84,42044.65,1245765.73,206830.57,7619,116544
00:00.0,489408,168239.56,44630,40752,222851.1,111053.83,181958.88,57185.73,21984.15,679759.59,108318.75,3706,62650
00:00.0,604267.86,182385.31,58014,40581,279024.37,130293.55,245190.79,52091.76,21095.35,808005.32,223813.51,3596,67627
00:00.0,487960.78,167649.8,45326,37677,213004.42,115236.11,197049.51,52413.69,21012.59,676794.03,153393.27,3309,59800
00:00.0,563108.81,202160.12,50664,45205,247263.79,138276.11,229632.98,63884.01,23565.37,788965.18,181231.29,3584,70098
00:00.0,845595.24,336162.96,74009,73122,391720.19,243022.4,356063.13,93140.56,44257.49,1226149.58,298165.98,5400,107302
00:00.0,853559.82,371411.95,73222,80975,388605.63,264333.01,368081.62,107078.94,45176.78,1270369.35,301277.13,6017,113329
00:00.0,1272651.68,369537.07,129725,81790,376037.39,253810.17,699232.66,115726.9,48258.26,1690569.91,722650.56,6961,131089
00:00.0,452292.63,154378.78,41979,35835,192177.63,95277.27,175649.85,59101.51,26729.98,633546.25,89459.82,3184,58744
00:00.0,564133.82,172059.15,56796,39187,206271.48,115408.26,269376.89,56650.89,23222.9,759483.8,174395.25,3029,64260
00:00.0,461823.68,159135.64,44848,36751,156520.73,103428.68,221576.95,55706.96,24093.36,645186.54,111835.95,2897,58310
00:00.0,478101.84,150534.74,42995,34935,161750.68,95376.19,234908.2,55158.55,24259.16,653050.61,113253.16,2625,56681
00:00.0,696284.69,318746.48,59142,70338,290115.92,225108.55,312323.31,93637.93,30895.29,1046022.36,136373.53,4292,98238
00:00.0,772258.73,447028.04,62956,98229,332463.91,318058.56,336607.97,128969.48,41820.09,1261247.73,118071.99,6446,121644
00:00.0,616671.16,317626.61,51545,71377,233040.7,213284.86,279445.24,104341.75,37460.86,971837.56,84745.31,4968,92627
00:00.0,467828.08,123231.85,42384,29482,223135.88,71591.56,153056.92,51640.29,19538.17,610725.98,51326.44,2460,53939
00:00.0,712644.33,134853.48,57778,30713,468920.06,89107.36,167107.79,45746.12,22076.29,869670.01,107280.46,2676,63711
00:00.0,498710.06,119923.27,43340,27636,270490.85,76419.76,157919.39,43503.51,19511.01,638275.22,86629.3,2302,52106
