,Date,Symbol,CDLDOJI,Close,return_5,return_10,return_15
107,2021-06-10,TATAPOWER,100,127.6,-2.8605015673981105,-6.857366771159878,-4.89811912225705
112,2021-06-17,TATAPOWER,100,123.95,-4.114562323517557,-2.09762000806778,-0.44372730939894467
120,2021-06-29,TATAPOWER,100,122.8,0.16286644951140072,1.01791530944626,-0.8143322475570036
130,2021-07-13,TATAPOWER,100,124.05,-1.8137847642079818,-2.982668278919798,6.1265618702136315
136,2021-07-22,TATAPOWER,100,123.7,-0.7679870654810017,8.771220695230397,8.043654001616819
147,2021-08-06,TATAPOWER,100,135.15,-1.9237883832778357,-7.547169811320753,-4.439511653718087
153,2021-08-16,TATAPOWER,100,132.1,-4.693414080242231,-2.308856926570768,-1.5518546555639556
159,2021-08-25,TATAPOWER,100,126.05,5.831019436731455,5.712019040063465,11.265370884569625
165,2021-09-02,TATAPOWER,100,133.6,-0.6362275449101729,3.218562874251507,4.116766467065869
166,2021-09-03,TATAPOWER,100,133.85,-2.0918939110945,0.33619723571163274,3.6608143444153862
174,2021-09-16,TATAPOWER,100,140.25,2.4242424242424176,13.190730837789655,26.7379679144385
182,2021-09-28,TATAPOWER,100,140.05,28.09710817565154,39.80721171010353,64.4769725098179
189,2021-10-07,TATAPOWER,100,177.75,25.232067510548518,24.894514767932495,20.56258790436005
192,2021-10-12,TATAPOWER,100,195.8,17.6455566905005,14.530132788559747,16.85393258426966
206,2021-11-02,TATAPOWER,100,228.5,3.719912472647713,9.36542669584246,6.258205689277907
207,2021-11-03,TATAPOWER,100,228.8,4.785839160839145,3.627622377622375,-0.6337412587412716
208,2021-11-04,TATAPOWER,100,231.35,3.674086881348604,-1.5993084071752706,-5.4895180462502635
214,2021-11-15,TATAPOWER,100,241.65,-1.9449617214980397,-10.283467825367264,-6.29008897165323
227,2021-12-03,TATAPOWER,100,225.6,1.0638297872340496,-4.343971631205667,-3.900709219858145
233,2021-12-13,TATAPOWER,100,230.25,-9.185667752442994,-5.602605863192189,-2.975027144408249
246,2021-12-30,TATAPOWER,100,218.35,4.625601099152732,12.34256926952142,13.876803297458217
252,2022-01-07,TATAPOWER,100,229.8,6.353350739773722,5.287206266318534,7.071366405570068
254,2022-01-11,TATAPOWER,100,233.1,2.5740025740025763,2.445302445302455,7.507507507507505
266,2022-01-28,TATAPOWER,100,244.05,4.2204466297889764,-4.814587174759266,-7.49846342962508
268,2022-02-01,TATAPOWER,100,249.85,-6.003602161296772,-7.784670802481486,-10.886531919151487
271,2022-02-04,TATAPOWER,100,254.35,-8.669156673874578,-11.244348338903087,-13.505012777668568
293,2022-03-09,TATAPOWER,100,229.25,0.5234460196292146,4.471101417666312,
298,2022-03-16,TATAPOWER,100,230.45,3.927099153829472,,
13,2021-01-20,TATASTEEL,100,690.15,-9.628341664855455,-4.955444468593773,0.6592769687749245
16,2021-01-25,TATASTEEL,100,651.95,-1.579875757343363,7.247488304317806,7.247488304317806
21,2021-02-02,TATASTEEL,100,641.65,8.969064131535887,8.969064131535887,13.660095067404354
23,2021-02-04,TATASTEEL,100,655.95,5.907462459028889,6.372436923545988,13.255583504840306
32,2021-02-17,TATASTEEL,100,696.8,4.434557979334119,11.531285878300812,3.9753157290470797
33,2021-02-18,TATASTEEL,100,697.75,6.47079899677534,8.627731995700483,3.1816553206736042
90,2021-05-18,TATASTEEL,100,1180.0,-6.338983050847458,-6.703389830508466,-5.838983050847468
93,2021-05-21,TATASTEEL,100,1113.1,-0.8624562033959116,0.6827778276884411,4.065223250381811
95,2021-05-25,TATASTEEL,100,1105.2,-0.3890698516105684,0.5338400289540246,6.252262034020983
104,2021-06-07,TATASTEEL,100,1128.7,3.198369805971457,-1.99787365996279,4.899441835740226
115,2021-06-22,TATASTEEL,100,1112.3,5.416704126584548,4.940213971050977,10.469297851299109
137,2021-07-23,TATASTEEL,100,1281.4,11.932261588887139,11.506945528328384,14.066645856094894
145,2021-08-04,TATASTEEL,100,1416.2,0.7061149555147583,5.949018500211833,-2.9056630419432294
151,2021-08-12,TATASTEEL,100,1435.35,-4.162747761869923,-3.5670742327655103,0.5782561744522408
161,2021-08-27,TATASTEEL,100,1384.15,4.298667051981364,5.729147852472627,-9.467904490120304
173,2021-09-15,TATASTEEL,100,1455.1,-10.260463198405601,-10.96488213868463,-12.040409593842337
181,2021-09-27,TATASTEEL,100,1270.5,4.2227469500196735,3.360881542699734,7.587563951200327
187,2021-10-05,TATASTEEL,100,1316.85,0.9302502183240247,2.008581083646588,0.7062307779929444
190,2021-10-08,TATASTEEL,100,1301.15,8.446374361142063,-0.6033124543672996,4.899511970180215
194,2021-10-14,TATASTEEL,100,1375.05,-5.730700701792657,-4.298025526344496,-2.3126431766117617
207,2021-11-03,TATASTEEL,100,1326.05,-1.994645752422608,-10.516194713623172,-16.11930168545681
209,2021-11-08,TATASTEEL,100,1343.25,-7.280848687883856,-11.256281407035186,-20.253117439047085
223,2021-11-29,TATASTEEL,100,1114.75,-0.5337519623233922,4.534649024444937,-3.749719668087015
227,2021-12-03,TATASTEEL,100,1118.0,5.545617173524153,1.261180679785312,-0.228085867620742
244,2021-12-28,TATASTEEL,100,1127.45,1.8936538205685416,0.2483480420417683,5.978092154862735
257,2022-01-14,TATASTEEL,100,1213.6,-3.6173368490441504,-10.551252471984174,-2.521423862887273
261,2022-01-20,TATASTEEL,100,1206.7,-10.11436148172702,-2.519267423551841,3.9570730090328965
265,2022-01-27,TATASTEEL,100,1088.35,7.189782698580416,14.701153121697974,9.427114439288854
271,2022-02-04,TATASTEEL,100,1176.3,6.643713338434076,1.2326787384170812,-2.63113151406954
281,2022-02-18,TATASTEEL,100,1190.8,-3.8167618407793147,8.490090695330888,8.918374202216995
289,2022-03-03,TATASTEEL,100,1303.3,0.41433284738741083,0.01150924576076573,2.735364075807567
10,2021-01-15,TCS,100,3233.35,2.1572053752300313,-2.907201509270574,-0.5953577558878598
29,2021-02-12,TCS,100,3190.8,-3.727905227529149,-9.29234047887677,-5.727403785884421
40,2021-03-01,TCS,100,2924.2,2.8298338006976342,6.355584433349315,7.468709390602557
47,2021-03-10,TCS,100,3070.95,-1.1218026994903818,-0.19863560136114122,5.468991680099
55,2021-03-23,TCS,100,3142.6,1.121682683128622,5.560682237637615,1.672182269458422
71,2021-04-19,TCS,100,3161.8,-0.9425011069643885,-3.5438674172939555,-1.2398001138592019
74,2021-04-23,TCS,100,3109.5,-2.374979900305507,0.7525325615050704,-1.2783405692233463
75,2021-04-26,TCS,100,3100.8,-2.057533539731693,1.4415634674922462,-0.38699690402477227
84,2021-05-07,TCS,100,3132.9,-2.015704299530785,-1.6406524306553094,0.8378818347218209
85,2021-05-10,TCS,100,3145.5,-1.8025751072961338,-1.0014306151645225,0.2384358607534498
86,2021-05-11,TCS,100,3122.6,-1.3001985524883075,1.1496829565106115,0.2193684749887792
91,2021-05-19,TCS,100,3082.0,2.4821544451654853,1.5395846852692907,3.8367942894224516
94,2021-05-24,TCS,100,3081.5,2.5198766834333863,3.3003407431445586,6.3232192114230035
105,2021-06-08,TCS,100,3200.15,1.9561583050794473,3.157664484477274,4.396668906145029
106,2021-06-09,TCS,100,3200.25,2.315444105929232,1.9107882196703452,4.546519803140381
109,2021-06-14,TCS,100,3276.35,-0.09919575136966285,1.8435148869931473,1.362797014970929
115,2021-06-22,TCS,100,3301.2,1.2010783957348892,-1.1783593844662432,-3.4426875075729946
118,2021-06-25,TCS,100,3380.8,-1.6371864647420797,-5.106779460482724,-5.501656412683387
120,2021-06-29,TCS,100,3340.85,-2.351198048400849,-4.588652588413122,-4.042384423125844
121,2021-06-30,TCS,100,3345.75,-2.1161174624523715,-3.9213928117761254,-3.867593215273113
123,2021-07-02,TCS,100,3325.45,-3.527342164218372,-3.928791592115344,-3.8460960170803804
126,2021-07-07,TCS,100,3274.95,-1.8443029664574895,-1.7893402952716797,-2.4168307913097764
134,2021-07-19,TCS,100,3184.6,-0.0518118445016702,3.1495321233435902,4.688186899453628
138,2021-07-26,TCS,100,3197.55,0.6833356788791489,3.9139341057997434,8.612844208847381
148,2021-08-09,TCS,100,3322.7,4.5219249405603845,8.742889818521093,13.957022903060757
167,2021-09-06,TCS,100,3852.0,0.8800623052959589,0.28426791277258445,-1.8912253374870125
170,2021-09-09,TCS,100,3791.4,0.9613862952998931,2.107400960067518,-1.6141794587751335
177,2021-09-21,TCS,100,3862.95,-2.169326550951989,-0.7675481173714305,-5.438848548389186
178,2021-09-22,TCS,100,3862.15,-1.8189350491306655,-1.3269810856647246,-5.358414354698815
179,2021-09-23,TCS,100,3869.25,-2.421657944045996,0.6112295664534528,-6.662789946372039
193,2021-10-13,TCS,100,3655.2,-3.356861457649374,-6.389527248850946,-4.009356533158237
197,2021-10-20,TCS,100,3608.85,-3.300220291782696,-3.230946146279279,-3.343170261994821
204,2021-10-29,TCS,100,3397.75,3.0902803325730366,4.57802957839748,1.957177543962918
208,2021-11-04,TCS,100,3508.65,0.49591723312385483,-1.432174768073191,-0.18953158622262434
210,2021-11-09,TCS,100,3505.7,1.446216162250047,-1.7799583535385133,2.0566505975982086
221,2021-11-25,TCS,100,3445.9,5.71693897095098,4.522766185902083,3.938013291157594
227,2021-12-03,TCS,100,3640.45,-0.10026233020642428,-1.5410182807070516,0.836435056105711
236,2021-12-16,TCS,100,3581.6,2.264351127987485,4.248101407192317,6.305840964931875
244,2021-12-28,TCS,100,3706.55,4.807705278493479,5.648109427904657,7.663460630505448
245,2021-12-29,TCS,100,3694.7,4.49968874333504,4.471269656535037,5.95312203967846
247,2021-12-31,TCS,100,3738.35,3.0802359329650697,6.147096981288547,2.545240547300276
250,2022-01-05,TCS,100,3860.95,-0.02719537937553307,1.3908494023491702,-5.483106489335521
251,2022-01-06,TCS,100,3807.45,2.375605720364038,0.5016480846760984,-3.0834285414122253
264,2022-01-25,TCS,100,3769.9,2.289185389532866,-0.2480171887848437,1.145918989893624
271,2022-02-04,TCS,100,3814.9,-3.1442501769378017,-0.5504731447744327,-7.710555977876221
288,2022-03-02,TCS,100,3546.15,2.4378551386715186,3.0949057428478755,5.7442578571126335
295,2022-03-11,TCS,100,3599.15,0.7654585110373313,3.0159898865009804,
11,2021-01-18,TECHM,100,998.25,-2.624593037816181,-4.112196343601293,-2.319058352116199
21,2021-02-02,TECHM,100,957.2,1.87003760969493,3.0923526953614555,-1.1961972419557099
27,2021-02-10,TECHM,100,974.9,0.5692891578623627,-1.5232331521181641,0.1128320853420961
29,2021-02-12,TECHM,100,991.2,0.277441485068608,-7.2992332526230825,-3.177966101694918
40,2021-03-01,TECHM,100,936.0,3.472222222222232,9.674145299145298,8.317307692307697
53,2021-03-19,TECHM,100,989.45,0.15665268583555658,0.1920258729597224,1.2532214866845193
55,2021-03-23,TECHM,100,1013.85,-2.209399812595547,1.4943038911081397,-0.35015041672832314
71,2021-04-19,TECHM,100,1000.1,-3.084691530846917,-3.9696030396960347,-2.3047695230477006
77,2021-04-28,TECHM,100,977.4,-1.7393083691426225,-1.539799467976255,-0.43994270513607603
