tsfTenantID,networkID,cidrBlock,userdefined_region
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,3.5.76.0/22,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.244.0.0/16,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,44.224.0.0/11,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,64.252.73.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.95.255.112/28,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,100.20.0.0/14,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.214.0.0/16,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,34.208.0.0/12,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,35.71.64.0/22,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.36.0.0/14,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.202.0.0/15,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.95.247.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,50.112.0.0/16,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.94.116.0/22,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.46.180.0/22,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.24.0.0/14,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,64.252.65.0/24,us-west-2
