STATION,NAME,DATE,TMAX
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-26,40
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-27,30
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-28,37
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-29,51
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-30,38
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-31,48
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-01,43
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-02,36
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-03,48
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-04,36
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-05,42
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-06,41
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-07,38
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-08,42
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-09,46
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-10,42
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-11,42
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-12,38
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-13,40
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-14,45
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-15,44
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-16,49
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-17,43
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-18,43
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-19,42
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-20,44
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-21,40
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-22,46
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-23,43
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-24,31
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-25,33
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-26,35
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-27,35
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-28,40
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-29,33
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-30,31
USC00367732,"SAFE HARBOR DAM, PA US",2021-01-31,34
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-01,30
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-02,32
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-03,35
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-04,36
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-05,40
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-06,47
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-07,44
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-08,37
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-09,31
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-10,36
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-11,36
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-12,32
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-13,30
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-14,29
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-15,35
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-16,35
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-17,45
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-18,29
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-19,28
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-20,34
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-21,31
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-22,35
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-23,35
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-24,47
USC00367732,"SAFE HARBOR DAM, PA US",2021-02-25,51
