Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2019-09-02,0.0740,,0.0523,,0.0092,,0.0000,,0.1544,,0.0537,,0.0070,-0.0292,0.0091,,0.0167,,0.0472,,,261,0.0607,358,0.0518,446,0.0464,290,0.0575,84,0.1069,424,0.0476,326,0.0543,449,0.0462,716,0.0366,639,0.0388,us,Twitch,Daily Users
2019-09-09,0.1265,,0.0625,,0.0140,,0.0041,,0.1146,,0.0967,0.0430,0.0311,,0.0056,,0.0196,,0.0770,0.0298,,264,0.0603,345,0.0528,443,0.0466,306,0.0560,118,0.0902,380,0.0503,306,0.0560,475,0.0450,734,0.0362,625,0.0392,us,Twitch,Daily Users
2019-09-16,0.0924,,0.0484,,0.0150,,0.0000,,0.0822,,0.0765,,0.0160,,0.0114,,0.0186,,0.0520,,,243,0.0629,351,0.0523,442,0.0466,271,0.0595,81,0.1089,377,0.0505,350,0.0524,433,0.0471,655,0.0383,652,0.0384,us,Twitch,Daily Users
2019-09-23,0.1134,,0.0615,,0.0031,,0.0051,,0.1282,,0.0755,,0.0272,,0.0030,,0.0214,,0.0601,,,252,0.0617,351,0.0523,449,0.0462,256,0.0612,112,0.0926,374,0.0507,329,0.0540,439,0.0468,665,0.0380,644,0.0386,us,Twitch,Daily Users
2019-09-30,0.1121,,0.0544,,0.0114,,0.0027,,0.1194,,0.0767,,0.0355,,0.0038,,0.0174,,0.0686,,,242,0.0630,338,0.0533,431,0.0472,243,0.0629,85,0.1063,371,0.0509,302,0.0564,441,0.0467,683,0.0375,570,0.0410,us,Twitch,Daily Users
2019-10-07,0.0812,,0.0743,,0.0099,,0.0109,,0.0862,,0.0862,,0.0225,,0.0109,,0.0250,,0.0597,,,263,0.0604,333,0.0537,423,0.0476,263,0.0604,117,0.0906,362,0.0515,320,0.0548,422,0.0477,676,0.0377,606,0.0398,us,Twitch,Daily Users
2019-10-14,0.1219,,0.0527,,0.0086,,0.0000,,0.1500,,0.0695,,0.0343,,0.0044,,0.0280,,0.0622,,,280,0.0586,355,0.0520,410,0.0484,237,0.0637,103,0.0966,416,0.0480,300,0.0566,409,0.0485,683,0.0375,600,0.0400,us,Twitch,Daily Users
2019-10-21,0.0998,,0.0860,,0.0229,,0.0064,,0.1659,,0.0742,,0.0326,,0.0225,0.0181,0.0179,,0.0857,,,247,0.0624,320,0.0548,425,0.0475,273,0.0593,110,0.0934,328,0.0541,337,0.0534,443,0.0466,661,0.0381,604,0.0399,us,Twitch,Daily Users
2019-10-28,0.1370,,0.0470,,0.0135,,0.0021,,0.1307,,0.0919,,0.0271,,0.0041,-0.0184,0.0158,,0.0779,,,265,0.0602,362,0.0515,417,0.0480,251,0.0619,110,0.0934,375,0.0506,327,0.0542,430,0.0473,666,0.0380,629,0.0391,us,Twitch,Daily Users
2019-11-04,0.1238,,0.0355,,0.0052,,0.0079,,0.1427,,0.0735,,0.0121,,0.0076,,0.0142,,0.0625,,,287,0.0578,368,0.0511,444,0.0465,267,0.0600,119,0.0898,377,0.0505,368,0.0511,440,0.0467,670,0.0379,696,0.0371,us,Twitch,Daily Users
2019-11-11,0.0943,,0.0700,,0.0034,,0.0046,,0.1284,,0.0778,,0.0173,,0.0063,,0.0244,,0.0509,,,243,0.0629,351,0.0523,497,0.0440,286,0.0579,103,0.0966,358,0.0518,371,0.0509,478,0.0448,738,0.0361,639,0.0388,us,Twitch,Daily Users
