Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-09-10,0.4884,,0.5595,,0.5426,,0.5117,,0.3252,,0.5574,,0.5848,,0.5149,,0.5912,,0.4570,,,1101,0.0295,1483,0.0254,1862,0.0227,1208,0.0282,394,0.0494,1565,0.0248,1463,0.0256,1929,0.0223,3072,0.0177,2582,0.0193,us,Facebook,Daily Users
2018-09-17,0.5147,,0.5925,,0.5304,,0.4898,,0.4801,0.1549,0.5495,,0.5422,,0.5290,,0.5923,,0.4600,,,255,0.0614,317,0.0550,448,0.0463,276,0.0590,84,0.1069,345,0.0528,324,0.0544,472,0.0451,724,0.0364,572,0.0410,us,Facebook,Daily Users
2018-09-24,0.5170,,0.5005,-0.0920,0.5157,,0.5160,,0.4461,,0.5143,,0.5310,,0.4905,,0.5493,,0.4728,,,261,0.0607,366,0.0512,476,0.0449,248,0.0622,115,0.0914,346,0.0527,414,0.0482,422,0.0477,691,0.0373,661,0.0381,us,Facebook,Daily Users
2018-10-01,0.5023,,0.5378,,0.5706,,0.5063,,0.4156,,0.5343,,0.5752,,0.5443,,0.5880,,0.4808,,,276,0.0590,315,0.0552,453,0.0460,247,0.0624,114,0.0918,332,0.0538,363,0.0514,410,0.0484,662,0.0381,630,0.0390,us,Facebook,Daily Users
2018-10-08,0.4311,,0.5397,,0.5157,,0.4871,,0.3377,,0.5391,,0.5287,,0.4941,,0.5651,,0.4287,,,292,0.0574,372,0.0508,471,0.0452,251,0.0619,115,0.0914,404,0.0488,356,0.0519,458,0.0458,716,0.0366,671,0.0378,us,Facebook,Daily Users
2018-10-15,0.4116,,0.5859,,0.5521,,0.4902,,0.3632,,0.5386,,0.5699,,0.5130,,0.5750,,0.4591,,,280,0.0586,344,0.0528,513,0.0433,276,0.0590,122,0.0887,338,0.0533,425,0.0475,457,0.0458,747,0.0359,666,0.0380,us,Facebook,Daily Users
2018-10-22,0.4742,,0.5654,,0.5085,,0.5464,,0.4185,,0.5434,,0.5433,,0.5229,,0.6085,,0.4304,,,284,0.0582,320,0.0548,392,0.0495,249,0.0621,105,0.0956,354,0.0521,319,0.0549,409,0.0485,647,0.0385,598,0.0401,us,Facebook,Daily Users
2018-10-29,0.4064,,0.5477,,0.5720,,0.4915,,0.2873,,0.5079,,0.5750,,0.5449,,0.5843,,0.4236,,,291,0.0574,268,0.0599,434,0.0470,237,0.0637,105,0.0956,339,0.0532,322,0.0546,398,0.0491,677,0.0377,553,0.0417,us,Facebook,Daily Users
2018-11-05,0.4680,,0.5432,,0.5362,,0.5120,,0.4151,,0.5332,,0.5254,,0.5202,,0.5962,,0.4370,,,252,0.0617,336,0.0535,508,0.0435,260,0.0608,82,0.1082,343,0.0529,384,0.0500,498,0.0439,712,0.0367,644,0.0386,us,Facebook,Daily Users
2018-11-12,0.5175,,0.5155,,0.5354,,0.5061,,0.4714,,0.5388,,0.5381,,0.5184,,0.5885,,0.4547,,,299,0.0567,341,0.0531,511,0.0434,262,0.0605,117,0.0906,373,0.0507,378,0.0504,462,0.0456,705,0.0369,710,0.0368,us,Facebook,Daily Users
