Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-10-22,0.4215,,0.1652,,0.0513,-0.0375,0.0079,,0.4839,,0.2709,,0.0888,,0.0274,,0.1398,-0.0522,0.1605,,,265,0.0602,293,0.0573,458,0.0458,224,0.0655,126,0.0873,299,0.0567,371,0.0509,386,0.0499,663,0.0381,576,0.0408,us,Snapchat,Daily Users
2018-10-29,0.3166,-0.1049,0.1459,,0.0508,,0.0141,,0.4190,,0.1976,-0.0732,0.1019,,0.0231,,0.1398,,0.1071,-0.0534,,276,0.0590,295,0.0571,454,0.0460,239,0.0634,112,0.0926,335,0.0535,327,0.0542,425,0.0475,662,0.0381,602,0.0399,us,Snapchat,Daily Users
2018-11-05,0.3687,,0.1760,,0.0656,,0.0086,,0.3979,,0.2764,0.0787,0.1141,,0.0310,,0.1497,,0.1340,,,266,0.0601,388,0.0498,457,0.0458,284,0.0582,91,0.1027,370,0.0509,404,0.0488,459,0.0457,751,0.0358,644,0.0386,us,Snapchat,Daily Users
2018-11-12,0.3721,,0.1912,,0.0647,,0.0171,,0.4969,,0.2694,,0.1236,,0.0347,,0.1507,,0.1597,,,292,0.0574,328,0.0541,462,0.0456,244,0.0627,86,0.1057,399,0.0491,324,0.0544,448,0.0463,714,0.0367,612,0.0396,us,Snapchat,Daily Users
2018-11-19,0.3975,,0.1646,,0.0495,,0.0052,,0.4472,,0.2651,,0.1013,,0.0185,,0.1423,,0.1417,,,270,0.0596,347,0.0526,453,0.0460,256,0.0612,104,0.0961,360,0.0517,373,0.0507,421,0.0478,656,0.0383,671,0.0378,us,Snapchat,Daily Users
2018-11-26,0.3656,,0.1605,,0.0469,,0.0043,,0.4481,,0.2541,,0.0947,,0.0185,,0.1341,,0.1434,,,322,0.0546,337,0.0534,486,0.0445,271,0.0595,129,0.0863,368,0.0511,380,0.0503,472,0.0451,771,0.0353,644,0.0386,us,Snapchat,Daily Users
2018-12-03,0.3785,,0.1331,,0.0501,,0.0090,,0.4341,,0.2786,,0.0724,,0.0241,,0.1322,,0.1278,,,282,0.0584,308,0.0558,476,0.0449,272,0.0594,79,0.1103,365,0.0513,376,0.0505,448,0.0463,709,0.0368,628,0.0391,us,Snapchat,Daily Users
2018-12-10,0.3990,,0.1405,,0.0469,,0.0051,,0.4165,,0.2728,,0.0867,,0.0160,,0.1327,,0.1430,,,273,0.0593,368,0.0511,438,0.0468,245,0.0626,102,0.0970,375,0.0506,349,0.0525,440,0.0467,682,0.0375,641,0.0387,us,Snapchat,Daily Users
2018-12-17,0.3956,,0.1680,,0.0510,,0.0116,,0.5011,,0.2713,,0.0765,,0.0351,,0.1776,0.0449,0.1102,,,289,0.0576,300,0.0566,469,0.0453,265,0.0602,118,0.0902,333,0.0537,324,0.0544,474,0.0450,684,0.0375,640,0.0387,us,Snapchat,Daily Users
2018-12-24,0.4282,,0.2236,,0.0383,,0.0172,,0.5616,,0.3025,,0.0970,,0.0233,,0.1704,,0.1436,,,241,0.0631,336,0.0535,438,0.0468,259,0.0609,102,0.0970,325,0.0544,357,0.0519,422,0.0477,625,0.0392,649,0.0385,us,Snapchat,Daily Users
