Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Generation: Early Boomers,Generation: Early Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Generation: Early Boomers (n),Generation: Early Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-09-10,0.2094,,0.1322,,0.0972,,0.0516,,0.2248,,0.1671,,0.1149,,0.0707,,0.0517,,0.0963,,0.1429,,,1081,0.0298,1476,0.0255,1892,0.0225,1226,0.0280,407,0.0486,1505,0.0253,1515,0.0252,1940,0.0222,990,0.0311,3053,0.0177,2623,0.0191,us,Twitter,Daily Users
2018-09-17,0.1979,,0.1843,0.0521,0.0997,,0.0596,,0.1761,,0.2073,,0.1554,0.0405,0.0620,,0.0677,,0.1302,0.0339,0.1380,,,277,0.0589,341,0.0531,463,0.0455,258,0.0610,106,0.0952,373,0.0507,344,0.0528,451,0.0461,211,0.0675,716,0.0366,623,0.0393,us,Twitter,Daily Users
2018-09-24,0.2514,,0.1600,,0.1232,,0.0561,,0.2456,,0.2166,,0.1419,,0.0856,,0.0620,,0.1223,,0.1791,,,310,0.0557,327,0.0542,449,0.0462,267,0.0600,107,0.0947,390,0.0496,339,0.0532,459,0.0457,235,0.0639,736,0.0361,616,0.0395,us,Twitter,Daily Users
2018-10-01,0.2083,,0.1747,,0.1001,,0.0563,,0.2014,,0.1963,,0.1333,,0.0805,,0.0620,,0.1027,,0.1644,,,276,0.0590,312,0.0555,426,0.0475,269,0.0598,111,0.0930,336,0.0535,325,0.0544,436,0.0469,208,0.0680,667,0.0379,615,0.0395,us,Twitter,Daily Users
2018-10-08,0.2195,,0.1479,,0.0852,,0.0600,,0.3500,0.1486,0.1567,,0.1050,,0.0726,,0.0634,,0.1067,,0.1449,,,309,0.0558,328,0.0541,458,0.0458,265,0.0602,113,0.0922,383,0.0501,365,0.0513,438,0.0468,223,0.0656,674,0.0377,686,0.0374,us,Twitter,Daily Users
2018-10-15,0.1289,-0.0906,0.1476,,0.1104,,0.0777,,0.1677,-0.1823,0.1346,,0.1180,,0.0972,,0.0780,,0.0927,,0.1414,,,275,0.0591,302,0.0564,491,0.0442,260,0.0608,108,0.0943,351,0.0523,339,0.0532,468,0.0453,223,0.0656,684,0.0375,645,0.0386,us,Twitter,Daily Users
2018-10-22,0.1865,,0.1153,,0.0917,,0.0515,,0.2686,,0.1194,,0.1442,,0.0523,-0.0450,0.0579,,0.0951,,0.1259,,,261,0.0607,313,0.0554,404,0.0488,239,0.0634,91,0.1027,352,0.0522,319,0.0549,388,0.0498,184,0.0722,623,0.0393,595,0.0402,us,Twitter,Daily Users
2018-10-29,0.1611,,0.1514,,0.1311,,0.0721,,0.1798,,0.1344,,0.1428,,0.1208,0.0686,0.0884,,0.1037,,0.1623,,,288,0.0577,261,0.0607,396,0.0492,240,0.0633,107,0.0947,324,0.0544,291,0.0574,400,0.0490,196,0.0700,634,0.0389,551,0.0417,us,Twitter,Daily Users
2018-11-05,0.2317,0.0706,0.0997,,0.0969,,0.0779,,0.2635,,0.1480,,0.1027,,0.0927,,0.0973,,0.1081,,0.1397,,,286,0.0579,362,0.0515,440,0.0467,254,0.0615,96,0.1000,415,0.0481,328,0.0541,447,0.0464,217,0.0665,716,0.0366,625,0.0392,us,Twitter,Daily Users
2018-11-12,0.1828,,0.1674,0.0677,0.1102,,0.0780,,0.2343,,0.1545,,0.1409,,0.1062,,0.0910,,0.1047,,0.1631,,,278,0.0588,338,0.0533,462,0.0456,287,0.0578,92,0.1022,374,0.0507,352,0.0522,474,0.0450,239,0.0634,717,0.0366,647,0.0385,us,Twitter,Daily Users
